OriginAirportID,Origin,DestAirportID,Dest,scheduled_flights,eligible_arrivals,delayed_arrivals,cancelled_flights,diverted_flights,arrival_delay_rate,cancellation_rate,diversion_rate
10397,ATL,10781,BTR,966,947,174,18,1,0.1837381203801478,0.0186335403726708,0.0010351966873706
10397,ATL,10785,BTV,380,371,90,7,2,0.2425876010781671,0.0184210526315789,0.0052631578947368
10397,ATL,10792,BUF,1368,1341,304,27,0,0.226696495152871,0.0197368421052631,0.0
10397,ATL,10800,BUR,352,345,124,4,3,0.3594202898550724,0.0113636363636363,0.0085227272727272
10397,ATL,10821,BWI,5701,5584,1463,107,10,0.2619985673352435,0.0187686370812138,0.0017540782318891
10397,ATL,10849,BZN,417,410,88,3,4,0.2146341463414634,0.0071942446043165,0.0095923261390887
10397,ATL,10868,CAE,1839,1816,370,21,2,0.2037444933920704,0.0114192495921696,0.0010875475802066
10397,ATL,10980,CHA,1480,1459,329,21,0,0.2254969156956819,0.0141891891891891,0.0
10397,ATL,10990,CHO,181,176,34,5,0,0.1931818181818181,0.0276243093922651,0.0
10397,ATL,10994,CHS,3070,3017,570,47,6,0.188929400066291,0.0153094462540716,0.0019543973941368
10397,ATL,11003,CID,367,362,94,2,3,0.2596685082872928,0.0054495912806539,0.0081743869209809
10397,ATL,11042,CLE,3342,3293,715,47,2,0.2171272395991497,0.014063435068821,0.0005984440454817
10397,ATL,11057,CLT,4781,4703,1032,75,3,0.2194344035721879,0.0156870947500522,0.000627483790002
10397,ATL,11066,CMH,3279,3245,711,30,4,0.2191063174114021,0.0091491308325709,0.0012198841110094
10397,ATL,11109,COS,542,535,126,7,0,0.2355140186915887,0.0129151291512915,0.0
10397,ATL,11146,CRW,444,429,121,13,2,0.282051282051282,0.0292792792792792,0.0045045045045045
10397,ATL,11193,CVG,2937,2895,543,38,4,0.1875647668393782,0.0129383724889342,0.0013619339462036
10397,ATL,11252,DAB,1573,1550,265,16,7,0.1709677419354838,0.0101716465352828,0.0044500953591862
10397,ATL,11259,DAL,3476,3406,716,50,20,0.2102172636523781,0.0143843498273878,0.0057537399309551
10397,ATL,11267,DAY,1373,1358,226,15,0,0.166421207658321,0.010924981791697,0.0
10397,ATL,11278,DCA,6872,6627,2083,209,36,0.3143202052210653,0.0304132712456344,0.0052386495925494
10397,ATL,11292,DEN,5572,5493,1494,53,26,0.2719825232113599,0.0095118449389806,0.0046661880832735
10397,ATL,11298,DFW,6643,6440,1879,170,33,0.2917701863354037,0.0255908475086557,0.0049676351046214
10397,ATL,11308,DHN,52,52,23,0,0,0.4423076923076923,0.0,0.0
10397,ATL,11423,DSM,1247,1228,212,17,2,0.1726384364820846,0.0136327185244587,0.0016038492381716
10397,ATL,11433,DTW,4939,4897,1082,38,4,0.2209516030222585,0.0076938651548896,0.0008098805426199
10397,ATL,11481,ECP,2318,2268,407,37,13,0.1794532627865961,0.0159620362381363,0.0056082830025884
10397,ATL,11503,EGE,181,177,58,3,1,0.327683615819209,0.0165745856353591,0.005524861878453
10397,ATL,11540,ELP,715,707,162,7,1,0.2291371994342291,0.0097902097902097,0.0013986013986013
10397,ATL,11612,EVV,314,300,73,14,0,0.2433333333333333,0.0445859872611464,0.0
10397,ATL,11618,EWR,6105,5910,2073,170,25,0.3507614213197969,0.0278460278460278,0.004095004095004
