OriginAirportID,Origin,scheduled_flights,eligible_arrivals,delayed_arrivals,cancelled_flights,diverted_flights,arrival_delay_rate,cancellation_rate,diversion_rate
11468,EAR,626,616,106,5,5,0.172077922077922,0.0079872204472843,0.0079872204472843
11471,EAU,627,608,127,17,2,0.2088815789473684,0.0271132376395534,0.0031897926634768
11481,ECP,9043,8866,1748,156,21,0.1971576810286487,0.0172509123078624,0.0023222381952891
11503,EGE,3868,3805,1190,42,21,0.3127463863337713,0.0108583247156153,0.0054291623578076
11525,EKO,504,503,18,1,0,0.0357852882703777,0.0019841269841269,0.0
11537,ELM,1250,1240,246,8,2,0.1983870967741935,0.0064,0.0016
11540,ELP,17011,16770,2893,189,52,0.1725104353011329,0.0111104579389806,0.0030568455705131
11577,ERI,39,38,8,0,1,0.2105263157894736,0.0,0.0256410256410256
11587,ESC,628,607,84,21,0,0.1383855024711696,0.0334394904458598,0.0
11603,EUG,8279,8200,1418,57,22,0.1729268292682926,0.0068848894794057,0.0026573257639811
11612,EVV,1934,1874,443,51,9,0.2363927427961579,0.0263702171664943,0.0046535677352637
11617,EWN,294,291,61,2,1,0.2096219931271477,0.0068027210884353,0.0034013605442176
11618,EWR,120286,116940,29538,3028,318,0.2525910723447922,0.0251733368804349,0.0026436991836123
11624,EYW,7760,7587,1819,97,76,0.2397522077237379,0.0125,0.0097938144329896
11630,FAI,3759,3726,596,33,0,0.1599570585077831,0.00877893056664,0.0
11637,FAR,6995,6912,1571,63,20,0.2272858796296296,0.0090064331665475,0.0028591851322373
11638,FAT,13341,13208,2383,99,34,0.1804209569957601,0.0074207330784798,0.0025485345926092
11641,FAY,354,348,56,5,1,0.160919540229885,0.0141242937853107,0.0028248587570621
11648,FCA,4340,4295,807,25,20,0.1878928987194412,0.0057603686635944,0.0046082949308755
11695,FLG,1729,1696,342,30,3,0.2016509433962264,0.0173510699826489,0.0017351069982648
11697,FLL,87585,86218,20679,1092,275,0.2398455078985826,0.012467888337044,0.0031398070445852
11711,FMN,237,236,40,1,0,0.1694915254237288,0.0042194092827004,0.0
11721,FNT,3315,3264,855,42,9,0.2619485294117647,0.0126696832579185,0.0027149321266968
11725,FOD,627,602,124,24,1,0.2059800664451827,0.0382775119617224,0.0015948963317384
11775,FSD,7398,7258,1875,109,31,0.2583356296500413,0.0147337118140037,0.0041903217085698
11778,FSM,1169,1119,199,47,3,0.1778373547810545,0.0402053036783575,0.0025662959794696
11823,FWA,6614,6468,1737,124,22,0.2685528756957328,0.0187481100695494,0.0033262775929845
11865,GCC,730,714,156,14,2,0.2184873949579832,0.0191780821917808,0.0027397260273972
11867,GCK,729,705,154,22,2,0.2184397163120567,0.0301783264746227,0.0027434842249657
11884,GEG,18202,18070,2879,88,44,0.1593248478140564,0.004834633556752,0.002417316778376
11898,GFK,816,808,125,8,0,0.1547029702970297,0.0098039215686274,0.0
11905,GGG,727,702,141,24,1,0.2008547008547008,0.0330123796423658,0.0013755158184319
11921,GJT,4699,4626,935,56,17,0.2021184608733247,0.0119174292402638,0.0036177910193658
11953,GNV,2714,2660,378,48,6,0.1421052631578947,0.0176860722181282,0.002210759027266
11973,GPT,3361,3243,527,111,7,0.1625038544557508,0.0330258851532282,0.0020827134781315
11977,GRB,4294,4207,924,84,3,0.2196339434276206,0.0195621797857475,0.0006986492780624
11980,GRI,989,963,203,24,2,0.2107995846313603,0.0242669362992922,0.0020222446916076
11982,GRK,1811,1742,364,65,4,0.208955223880597,0.0358917725013804,0.0022087244616234
11986,GRR,18592,18287,4125,265,40,0.2255700771039536,0.0142534423407917,0.0021514629948364
11995,GSO,10368,10085,1897,266,17,0.1881011403073872,0.0256558641975308,0.0016396604938271
11996,GSP,14179,13839,2660,299,41,0.1922104198280222,0.0210875238028069,0.0028916002538966
11997,GST,86,83,15,3,0,0.180722891566265,0.0348837209302325,0.0
12003,GTF,2444,2431,318,8,5,0.1308103661044837,0.0032733224222585,0.0020458265139116
12007,GTR,243,238,62,3,2,0.2605042016806723,0.0123456790123456,0.0082304526748971
12012,GUC,1138,1126,287,5,7,0.2548845470692717,0.0043936731107205,0.0061511423550087
12016,GUM,732,726,47,5,1,0.0647382920110192,0.0068306010928961,0.0013661202185792
12094,HDN,2313,2269,609,35,9,0.2684001762891141,0.0151318633808906,0.0038910505836575
12119,HGR,316,308,153,6,2,0.4967532467532468,0.0189873417721519,0.0063291139240506
12124,HHH,2185,2116,394,47,22,0.1862003780718336,0.0215102974828375,0.0100686498855835
12129,HIB,627,620,102,7,0,0.164516129032258,0.011164274322169,0.0
12156,HLN,1680,1651,311,16,13,0.1883706844336765,0.0095238095238095,0.0077380952380952
12173,HNL,58873,58346,8220,459,68,0.1408836938264833,0.0077964431912761,0.0011550286209297
12177,HOB,730,714,155,12,4,0.2170868347338935,0.0164383561643835,0.0054794520547945
12191,HOU,55255,54501,11408,648,106,0.2093172602337571,0.011727445480047,0.0019183784272916
