city,state,scheduled_flights,eligible_arrivals,delayed_arrivals,cancelled_flights,diverted_flights,airports,latitude,longitude,arrival_delay_rate,cancellation_rate,diversion_rate
"Flint, MI",MI,3315,3264,855,42,9,FNT,42.96555556,-83.74472222,0.2619485294117647,0.012669683257918552,0.0027149321266968325
"Bakersfield, CA",CA,3054,3025,464,19,10,BFL,35.43375263772757,-119.05764152772758,0.15338842975206612,0.006221349050425672,0.0032743942370661427
"Daytona Beach, FL",FL,3054,2990,463,53,11,DAB,29.18,-81.05805556,0.1548494983277592,0.017354289456450556,0.003601833660772757
"Allentown/Bethlehem/Easton, PA",PA,3037,2981,518,39,17,ABE,40.652063715936784,-75.44158663742509,0.17376719221737671,0.012841620019756339,0.005597629239380968
"Provo, UT",UT,2978,2938,537,23,17,PVU,40.219041771605106,-111.72295863931163,0.1827773995915589,0.007723304231027535,0.005708529214237743
"Melbourne, FL",FL,2942,2884,523,52,6,MLB,28.10250566512577,-80.6443253828382,0.18134535367545077,0.017675050985723997,0.0020394289598912306
"Charleston/Dunbar, WV",WV,2902,2806,728,89,7,CRW,38.37611111,-81.59277778,0.2594440484675695,0.030668504479669192,0.002412129565816678
"Lincoln, NE",NE,2865,2804,701,46,15,LNK,40.851450354785335,-96.75731559009076,0.25,0.01605584642233857,0.005235602094240838
"Minot, ND",ND,2841,2792,582,41,8,MOT,48.25777778,-101.27805556,0.20845272206303725,0.014431538190777896,0.0028159098908834917
"Gainesville, FL",FL,2714,2660,378,48,6,GNV,29.69044491347458,-82.27225988974577,0.14210526315789473,0.017686072218128224,0.002210759027266028
"Lafayette, LA",LA,2674,2575,626,91,8,LFT,30.20442200672775,-91.9870552871092,0.24310679611650485,0.034031413612565446,0.0029917726252804786
"Atlantic City, NJ",NJ,2671,2643,387,23,5,ACY,39.458406653504305,-74.57797776368027,0.14642451759364358,0.008611007113440658,0.0018719580681392737
"Sun Valley/Hailey/Ketchum, ID",ID,2504,2471,351,24,9,SUN,43.50388889,-114.29555556,0.14204775394577093,0.009584664536741214,0.003594249201277955
"Columbia, MO",MO,2489,2390,624,91,8,COU,38.81998884132584,-92.2164171278184,0.2610878661087866,0.03656086781840096,0.0032141422257934912
"Great Falls, MT",MT,2444,2431,318,8,5,GTF,47.4796558468617,-111.37156096887887,0.13081036610448374,0.0032733224222585926,0.0020458265139116204
"Montrose/Delta, CO",CO,2419,2391,573,19,9,MTJ,38.50935257837536,-107.89428988091774,0.2396486825595985,0.007854485324514262,0.0037205456800330715
"Bellingham, WA",WA,2409,2376,343,30,3,BLI,48.79277778,-122.53749999999998,0.14436026936026936,0.012453300124533,0.0012453300124533001
"Casper, WY",WY,2398,2366,607,21,11,CPR,42.90583333,-106.46361111,0.2565511411665258,0.008757297748123435,0.0045871559633027525
"Ketchikan, AK",AK,2388,2325,441,59,4,KTN,55.35416666999999,-131.71111111,0.1896774193548387,0.024706867671691793,0.0016750418760469012
"Williston, ND",ND,2376,2330,566,24,22,XWA,48.25972222,-103.75055556,0.2429184549356223,0.010101010101010102,0.009259259259259259
"Hayden, CO",CO,2313,2269,609,35,9,HDN,40.48111111,-107.21777778,0.26840017628911417,0.015131863380890618,0.0038910505836575876
"Saginaw/Bay City/Midland, MI",MI,2305,2264,533,39,2,MBS,43.53305556,-84.07972222,0.23542402826855124,0.016919739696312365,0.0008676789587852494
"Augusta, GA",GA,2298,2230,510,64,4,AGS,33.37,-81.96444444,0.22869955156950672,0.0278503046127067,0.0017406440382941688
"Aguadilla, PR",PR,2297,2250,409,30,17,BQN,18.49472222,-67.12944444,0.1817777777777778,0.013060513713539399,0.007400957771005659
"Duluth, MN",MN,2212,2172,450,38,2,DLH,46.84164958660941,-92.18787849185352,0.20718232044198895,0.017179023508137433,0.0009041591320072332
"Hilton Head, SC",SC,2185,2116,394,47,22,HHH,32.22444444,-80.6975,0.18620037807183365,0.021510297482837528,0.010068649885583524
